# Depth(m), Pressure(Pa), Temperature(K), X_H2O, X_CH4, X_C2H6, X_CO, X_CO2
5.73712927e+05 9.57602264e+07 1.28349760e+03 8.37622234e-03 2.02541997e-03 5.60773301e-09 3.22732606e-07 1.86665685e-09
5.83493508e+05 1.00736283e+08 1.30167639e+03 8.37615231e-03 2.02534633e-03 6.18333201e-09 3.92197912e-07 2.17510958e-09
5.93274088e+05 1.05896570e+08 1.31981372e+03 8.37607041e-03 2.02526588e-03 6.79737698e-09 4.73083253e-07 2.51941822e-09
6.03054669e+05 1.11245401e+08 1.33790981e+03 8.37597618e-03 2.02516718e-03 7.45065808e-09 5.66611185e-07 2.90159926e-09
6.12835250e+05 1.16787145e+08 1.35596486e+03 8.37586764e-03 2.02505784e-03 8.14406572e-09 6.74042737e-07 3.32355757e-09
6.22615831e+05 1.22526224e+08 1.37397910e+03 8.37574386e-03 2.02493302e-03 8.87829827e-09 7.96662412e-07 3.78704811e-09
6.32396412e+05 1.28467117e+08 1.39195277e+03 8.37560375e-03 2.02478649e-03 9.65394394e-09 9.35767972e-07 4.29366080e-09
6.42176992e+05 1.34614355e+08 1.40988614e+03 8.37544516e-03 2.02463070e-03 1.04718045e-08 1.09266029e-06 4.84478254e-09
6.51957573e+05 1.40972521e+08 1.42777947e+03 8.37526814e-03 2.02444384e-03 1.13320097e-08 1.26863077e-06 5.44165629e-09
6.61738154e+05 1.47546261e+08 1.44563306e+03 8.37506972e-03 2.02424840e-03 1.22353143e-08 1.46495807e-06 6.08530082e-09
6.71518735e+05 1.54340270e+08 1.46344725e+03 8.37485073e-03 2.02401635e-03 1.31816974e-08 1.68286177e-06 6.77643234e-09
6.81299316e+05 1.61359299e+08 1.48122239e+03 8.37460712e-03 2.02378176e-03 1.41718743e-08 1.92356159e-06 7.51571557e-09
6.91079896e+05 1.68608157e+08 1.49895889e+03 8.37434210e-03 2.02348837e-03 1.52052231e-08 2.18813931e-06 8.30326339e-09
7.00860477e+05 1.76091708e+08 1.51665715e+03 8.37404814e-03 2.02321926e-03 1.62831136e-08 2.47775016e-06 9.13948899e-09
7.10641058e+05 1.83814872e+08 1.53431761e+03 8.37373266e-03 2.02286166e-03 1.74037522e-08 2.79324928e-06 1.00237395e-08
7.20421639e+05 1.91782625e+08 1.55194070e+03 8.37338568e-03 2.02253595e-03 1.85691346e-08 3.13569200e-06 1.09561742e-08
7.30202220e+05 2.00000000e+08 1.56952683e+03 8.37297147e-03 2.02209437e-03 1.99101553e-08 3.54804265e-06 1.20445388e-08
